index,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,timestamp_sec,timestamp_nanosec
1,map,-126.716,7.28377,0,0,0,-0.627523,0.778598,1754037144,615729325
2,map,39.067,3.58548,0,0,0,0.0340315,0.999421,1754037170,42216055
3,map,51.2596,-11.5112,0,0,0,-0.515806,0.856705,1754037200,823339596
4,map,5.77109,-115.18,0,0,0,-0.833358,0.552733,1754037211,737172244
5,map,-118.574,-153.392,0,0,0,-0.998264,0.0589005,1754037225,718948446
